"","text","is_kelas"
"91.content","jokowi titip program pemerintah para relawan",FALSE
"92.content","presiden jokowi perintah kepala daerah siap bank tanah",FALSE
"93.content","zaman rezim jokowi makin hari makin lihat sikap kontra islam",TRUE
"94.content","jokowi tegas diri bukan diktator amat diktator bukan hanya soal muka soal bijak",TRUE
"95.content","jokowi hebat gubernur sulsel",FALSE
"96.content","tidak gaya orang president rakyat karakter jiwa lbh baek sang mantan jokowi dua periode",FALSE
"97.content","ckckck neger gadai",TRUE
"98.content","jokowi ase cipta stabilitas ekonomi",FALSE
"99.content","istana ungkap gemar jokowi makan ikan",FALSE
"100.content","teriak jokowi dua periode gema mayor",FALSE
"101.content"," hadap relawan jokowi tidak respons soal dukung maju pilpres",FALSE
"102.content"," mikir bapak jokowi orang islam tidak ya tidak takut tuhan",TRUE
"103.content","sudah undang undang langgar jokowi bidang ekonomi oleh salamudin daeng anggar",TRUE
"104.content","masyarakat minta jokowi periode masyarakat mau",TRUE
"105.content","haru tahun merdeka baru presiden jokowi duli rakyat papua",FALSE
"106.content","presiden jokowi stop cela jangan bicara hoax ribut soal patung",FALSE
"107.content","akun bayar nasi kucing bungkus gratis pro jokowi giring opini masyarakat",TRUE
"108.content","jokowi capres boneka",TRUE
"109.content","joko widodo nyepelein masalah jamin sehat buruh",TRUE
"110.content","ngerasa tidak dosa ingkar janji dki jokowi kena kritik",TRUE
"111.content","undang undang tentang selenggara pemilihan umum atau milu berlaku otomatis meski belum teken oleh presiden jokowi",FALSE
"112.content","indonesia harus merdeka dajal pki jokowi serta janda bau tanah milu datang",TRUE
"113.content","amit amit ngakunya bela islam junjung cabul masih puja puja kayak tuhan",TRUE
"114.content","selesai lrt nyata pake dana haji klau lrt pasti lebih banyak manfaatx aseng umat lain bukan umat islam",TRUE
"115.content","bapak apakah bapak percaya sekolah neger ajar karakter pancasila islam ramah in thisera",TRUE
"116.content"," lebih gila ya zholimi umat islam mau ngembat dana haji sementara hasil rampok cina garong blbi tidak kejar hayoo om",TRUE
"117.content","mafia cukong cina sembah bos reklamasi bos nista agama bos meikarta ujung mau ngembat dana haji umat",TRUE
"118.content","saya enek lihat laku aparar tutup mata kecebong main ciduk dukung islam",TRUE
"119.content","hina jokowi langsung tangkap sementara ancam bunuh bebas lenggang",TRUE
"120.content"," umat islam buat tidak milih jokowi",TRUE
"121.content"," orang orang islam buat kaga milih jokowi",TRUE
"122.content","foto agussylvi anak sby sama anak jokowi mana tata krama mana ndeso",TRUE
"123.content","lama pemerintahan jokowi umat islam rasa tekan siar batas demo ijin sulit waktu tentu",TRUE
"124.content","mungkin jokowi buat negara seperti ingin balas dendam negara umat islam dia duga turun pki boyolali",TRUE
"125.content","kita kaya ngarep banget dana haji umat islam dihutang sm rezim jokowi",TRUE
"126.content","sedikit demi sedikit bapak menghcurkan generasi islam lbh tepat",TRUE
"127.content","pakai sarung jokowi resmi bangun masjid pondok putri ponpes nurul islam",FALSE
"128.content","rakyat teriak sampai bikin aksi kamu tetap buat perppu ormas buat hajar ormas umat islam diktator",TRUE
"129.content"," representasi agama china islam mana bawa oleh siapa bukan asing",TRUE
"130.content","saya pancasila tidak lantas anti asing aseng kenapa giring kpd anti khilafah hrs jelas tepis stigma anti islam",TRUE
"131.content","bapak jokowi bukan hanya diktator namun otoriter makin kesan represif anti islam bijak",TRUE
"132.content","ini puisi jokowi santriwati ponpes nurul islam",FALSE
"133.content","saya pasti tamat riwayat boneka china jokowi jika sampai ormas islam bubar",TRUE
"134.content","proyek citra pilpres sangat tidak pantas ngembat dana haji umat islam lama dizholimi",TRUE
"135.content","benar islam negara banyak seperti buih lautan apalagi tidak paham agama",TRUE
"136.content","ancam tidak dukung jokowi pilpres pkb sebut jokowi tipu umat islam soal full day school via berita kini",TRUE
"137.content","wartawan senior musuh khilafah adalah sesal besar jokowi",TRUE
"138.content","hina merah putih anggap biasa tahun bapak mau injak merah putih organisasi islam bubar anak pki anggota dpr",TRUE
"139.content","smnjk negara pimpin umat islam tidak kasih ruang gerak suai janji tim buzersnya pilpres yl",TRUE
"140.content"," dukung musuh saat bukan teroris umat islam pribumi seberang",TRUE
"141.content","dukung ahokdjarot orang orang ahli maksiat munafik ngaku islam tidak mau sholat jadi kafur",TRUE
