"","text","is_kelas"
"73.content","mari kita bongkar siapa jati diri jokowi benar",2
"74.content","waktu reshuffle hanya tuhan jokowi tahu",1
"75.content","jokowi minta masyarakat tidak ribut patung",0
"76.content","mari sadar rakyat sang dusta",2
"77.content","moga pakdhe selalu sehat",0
"78.content","analisa ilmiah psikologi gibran jokowi vs agussylvi yudhoyono",0
"79.content","sekolah tidak gratis netizen makasih bapak jokowi salam gigit jari",1
"80.content","presiden jokowi hadir tengah festival musik wtf",0
"81.content","tampik acara musik pakde jokowi kembali tunjuk sakti",0
"82.content","nama jongos china",3
"83.content"," sudau hubung cukong tiongkok jokowi lemah tidak daya fix kasus lain",2
"84.content","banyak anak sekolah keluh akibat pulang sore",0
"85.content","ketika jokowi luluh berik sepeda tanpa tanya",0
"86.content","orang sibuk ngurusin kodok kambing",2
"87.content","makan indomie pake nasi adalah tiap warga negara bapak jokowi harus jamin",0
"88.content","bil khusus jokowi makan ikan oon",2
"89.content","buka simposium presiden jokowi ingat masa pimpin solo",0
"90.content","mesra gibran jokowi agussylvi istana lalu",1
"91.content","jokowi titip program pemerintah para relawan",1
"92.content","presiden jokowi perintah kepala daerah siap bank tanah",0
"93.content","zaman rezim jokowi makin hari makin lihat sikap kontra islam",2
"94.content","jokowi tegas diri bukan diktator amat diktator bukan hanya soal muka soal bijak",1
"95.content","jokowi hebat gubernur sulsel",1
"96.content","tidak gaya orang president rakyat karakter jiwa lbh baek sang mantan jokowi dua periode",1
"97.content","ckckck neger gadai",2
"98.content","jokowi ase cipta stabilitas ekonomi",0
"99.content","istana ungkap gemar jokowi makan ikan",0
"100.content","teriak jokowi dua periode gema mayor",1
"101.content"," hadap relawan jokowi tidak respons soal dukung maju pilpres",1
"102.content"," mikir bapak jokowi orang islam tidak ya tidak takut tuhan",2
"103.content","sudah undang undang langgar jokowi bidang ekonomi oleh salamudin daeng anggar",1
"104.content","masyarakat minta jokowi periode masyarakat mau",2
"105.content","haru tahun merdeka baru presiden jokowi duli rakyat papua",1
"106.content","presiden jokowi stop cela jangan bicara hoax ribut soal patung",1
"107.content","akun bayar nasi kucing bungkus gratis pro jokowi giring opini masyarakat",2
"108.content","jokowi capres boneka",2
"109.content","joko widodo nyepelein masalah jamin sehat buruh",2
"110.content","ngerasa tidak dosa ingkar janji dki jokowi kena kritik",2
"111.content","undang undang tentang selenggara pemilihan umum atau milu berlaku otomatis meski belum teken oleh presiden jokowi",1
"112.content","indonesia harus merdeka dajal pki jokowi serta janda bau tanah milu datang",3
"113.content","amit amit ngakunya bela islam junjung cabul masih puja puja kayak tuhan",3
"114.content","selesai lrt nyata pake dana haji klau lrt pasti lebih banyak manfaatx aseng umat lain bukan umat islam",2
"115.content","bapak apakah bapak percaya sekolah neger ajar karakter pancasila islam ramah in thisera",2
"116.content"," lebih gila ya zholimi umat islam mau ngembat dana haji sementara hasil rampok cina garong blbi tidak kejar hayoo om",3
"117.content","mafia cukong cina sembah bos reklamasi bos nista agama bos meikarta ujung mau ngembat dana haji umat",2
"118.content","saya enek lihat laku aparar tutup mata kecebong main ciduk dukung islam",3
"119.content","hina jokowi langsung tangkap sementara ancam bunuh bebas lenggang",2
"120.content"," umat islam buat tidak milih jokowi",2
"121.content"," orang orang islam buat kaga milih jokowi",2
"122.content","foto agussylvi anak sby sama anak jokowi mana tata krama mana ndeso",2
"123.content","lama pemerintahan jokowi umat islam rasa tekan siar batas demo ijin sulit waktu tentu",2
"124.content","mungkin jokowi buat negara seperti ingin balas dendam negara umat islam dia duga turun pki boyolali",2
"125.content","kita kaya ngarep banget dana haji umat islam dihutang sm rezim jokowi",2
"126.content","sedikit demi sedikit bapak menghcurkan generasi islam lbh tepat",2
"127.content","pakai sarung jokowi resmi bangun masjid pondok putri ponpes nurul islam",0
"128.content","rakyat teriak sampai bikin aksi kamu tetap buat perppu ormas buat hajar ormas umat islam diktator",2
"129.content"," representasi agama china islam mana bawa oleh siapa bukan asing",2
"130.content","saya pancasila tidak lantas anti asing aseng kenapa giring kpd anti khilafah hrs jelas tepis stigma anti islam",2
"131.content","bapak jokowi bukan hanya diktator namun otoriter makin kesan represif anti islam bijak",2
"132.content","ini puisi jokowi santriwati ponpes nurul islam",0
"133.content","saya pasti tamat riwayat boneka china jokowi jika sampai ormas islam bubar",2
"134.content","proyek citra pilpres sangat tidak pantas ngembat dana haji umat islam lama dizholimi",2
"135.content","benar islam negara banyak seperti buih lautan apalagi tidak paham agama",2
"136.content","ancam tidak dukung jokowi pilpres pkb sebut jokowi tipu umat islam soal full day school via berita kini",1
"137.content","wartawan senior musuh khilafah adalah sesal besar jokowi",1
"138.content","hina merah putih anggap biasa tahun bapak mau injak merah putih organisasi islam bubar anak pki anggota dpr",2
"139.content","smnjk negara pimpin umat islam tidak kasih ruang gerak suai janji tim buzersnya pilpres yl",2
"140.content"," dukung musuh saat bukan teroris umat islam pribumi seberang",2
"141.content","dukung ahokdjarot orang orang ahli maksiat munafik ngaku islam tidak mau sholat jadi kafur",2
