"","text","is_kelas"
"84.content","biasa kalau sudah mendekati pemilu para antek mulai gelisah dan mencari cari masalah sudah clear dari tahun bahwa bapak pensiun",2
"86.content","itulah panasbung jari lebih cepat dari otak palagi kalau dapat jatah nasbung tangan lebih cepat dari bayangan ed haha haha haha birthday ed haha b haha",2
"87.content","ya iyalah kan itu panasbung kampret qiqiqjqiqiqiqiqi",2
"88.content","lho pki nya mana om orang cuma gorengan panasbung",2
"89.content","nafsu banget ingin berkuasa haha pemilu dibuat saat sby berkuasa tetap sama rakyat sudah cerdas memilih pemimpinnya haha haha",2
"91.content","keberhasilan sby diklaim pemilu era sby dipake utk pt tetapi giliran hutang nyalahin masa lalu",2
"92.content","mau dbawa kmana pbb nya untuk mengambil simpati hti dan fpi haha atau memamfaatkannya mendulang suara di pemilu nanti dibubarkan pula lo",2
"61.content","wong cilik hanya untuk pemilu dan pilpres setelah itu modar porah",3
"74.content","saja tidak paham haha pemilu yang baru apalagi cuma cebong macem",3
"78.content","hajar ndan jangan kasih kendor tu cecunguk biar mereka tahu diri jangan sok plng jago ed haha haha haha birthday ed haha b haha haha",3
"80.content","mau pemilu ceritanya pemberhentian prabowo dasar cebong",3
"85.content","ternyata nyalimu tidak sbesar bacotmu kliatan bngt kualitasnya persis panasbung",3
