"","text","is_kelas"
"62.content","pas gubernur ngemengnya pres gampang kalian nunggu ntar pensiun presiden br macet atas",1
"63.content","tepat raja kibul",2
"64.content","pemerintah anti kritik",1
"65.content","akhir pekan presiden jokowi luncur program kuat didik pancasila",0
"66.content","cerita jokowi keringat salam relawan dukung",0
"67.content","mari bongkar siapa jati diri jokowi benar",1
"68.content","waktu reshuffle hanya tuhan jokowi tahu",0
"69.content","jokowi minta masyarakat ribut patung",0
"70.content","mari sadar rakyat sang dusta",1
"71.content","analisa ilmiah psikologi gibran jokowi vs agussylvi yudhoyono",0
"72.content","sekolah gratis netizen makasih bapak jokowi salam gigit jari",1
"73.content","presiden jokowi hadir tengah festival musik wtf",0
"74.content","tampik acara musik pakde jokowi kembali tunjuk sakti",0
"75.content","nama jongos china",2
"76.content"," sudau hubung cukong tiongkok jokowi lemah daya fix kasus lain",2
"77.content","banyak anak sekolah keluh akibat pulang sore",0
"78.content","ketika jokowi luluh beri sepeda tanpa tanya",0
"79.content","orang sibuk ngurusin kodok kambing",2
"80.content","makan indomie pake nasi tiap warga negara bapak jokowi harus jamin",0
"81.content"," khusus jokowi makan ikan oon",2
"82.content","buka simposium presiden jokowi ingat masa pimpin solo",0
"83.content","mesra gibran jokowi agussylvi istana lalu",0
"84.content","jokowi titip program pemerintah para relawan",0
"85.content","presiden jokowi perintah kepala daerah siap bank tanah",0
"86.content","zaman rezim jokowi makin hari makin lihat sikap kontra islam",1
"87.content","jokowi tegas diri diktator amat diktator hanya soal muka soal bijak",1
"88.content","jokowi hebat gubernur sulsel",0
"89.content"," gaya orang president rakyat karakter jiwa lbh baek sang mantan jokowi dua periode",0
"90.content","ckckck neger gadai",1
"91.content","jokowi ase cipta stabilitas ekonomi",0
"92.content","istana ungkap gemar jokowi makan ikan",0
"93.content"," hadap relawan jokowi respons soal dukung maju pilpres",0
"94.content"," mikir bapak jokowi orang islam takut tuhan",1
"95.content"," undang undang langgar jokowi bidang ekonomi oleh salamudin daeng anggar",1
"96.content","masyarakat minta jokowi periode masyarakat mau",1
"97.content","presiden jokowi stop cela jangan bicara hoax ribut soal patung",0
"98.content","akun bayar nasi kucing bungkus gratis pro jokowi giring opini masyarakat",1
"99.content","jokowi capres boneka",1
"100.content","joko widodo nyepelein masalah jamin sehat buruh",1
"101.content","ngerasa dosa ingkar janji dki jokowi kena kritik",1
"102.content","undang undang tentang selenggara pemilihan umum pemilu berlaku otomatis meski teken oleh presiden jokowi",0
"103.content","indonesia harus merdeka dajal pki jokowi serta janda bau tanah pemilu datang",2
"104.content","amit amit ngakunya bela islam junjung cabul puja puja kayak tuhan",2
"105.content","selesai lrt nyata pake dana haji klau lrt pasti lebih banyak manfaatx aseng umat lain umat islam",1
"106.content","bapak bapak percaya sekolah neger ajar karakter pancasila islam ramah in thisera",1
"107.content"," lebih gila zholimi umat islam mau ngembat dana haji hasil rampok cina garong blbi kejar hayoo om",1
"108.content","mafia cukong cina sembah bos reklamasi bos nista agama bos meikarta ujung mau ngembat dana haji umat",2
"109.content"," enek lihat laku aparar tutup mata kecebong main ciduk dukung islam",2
"110.content","hina jokowi langsung tangkap ancam bunuh bebas lenggang",1
"111.content"," umat islam pilih jokowi",1
"112.content"," orang orang islam kaga pilih jokowi",1
"113.content","foto agussylvi anak sby sama anak jokowi tata krama ndeso",1
"114.content","lama pemerintahan jokowi umat islam rasa tekan siar batas demo ijin sulit waktu tentu",1
"115.content","mungkin jokowi negara seperti ingin balas dendam negara umat islam duga turun pki boyolali",1
"116.content"," kaya ngarep banget dana haji umat islam dihutang sm rezim jokowi",1
"117.content","sedikit demi sedikit bapak menghcurkan generasi islam lbh tepat",1
"118.content","pakai sarung jokowi resmi bangun masjid pondok putri ponpes nurul islam",0
"119.content","rakyat teriak sampai bikin aksi tetap perppu ormas hajar ormas umat islam diktator",1
"120.content"," representasi agama china islam bawa oleh siapa asing",1
"121.content"," pancasila lantas anti asing aseng kenapa giring kpd anti khilafah hrs jelas tepis stigma anti islam",1
"122.content","bapak jokowi hanya diktator namun otoriter makin kesan represif anti islam bijak",1
"123.content","ini puisi jokowi santriwati ponpes nurul islam",0
"124.content"," pasti tamat riwayat boneka china jokowi jika sampai ormas islam bubar",1
"125.content","proyek citra pilpres sangat pantas ngembat dana haji umat islam lama dizholimi",1
"126.content","benar islam negara banyak seperti buih lautan apalagi paham agama",1
"127.content","ancam dukung jokowi pilpres pkb sebut jokowi tipu umat islam soal full day school via berita kini",1
"128.content","wartawan senior musuh khilafah sesal besar jokowi",1
"129.content","hina merah putih anggap biasa tahun bapak mau injak merah putih organisasi islam bubar anak pki anggota dpr",1
"130.content","smnjk negara pimpin umat islam kasih ruang gerak suai janji tim buzersnya pilpres yl",1
"131.content"," dukung musuh saat teroris umat islam pribumi seberang",1
"132.content","dukung orang orang ahli maksiat munafik ngaku islam mau sholat jadi kafur",2
"133.content","islam hanya jadi alat politik oleh politikus busuk serang lawan demi raih kuasa",1
"134.content","derita periode jokowi anggap bagai hapus dosa",1
"135.content","islam gerus zaman istilah apalagi islam terus pengaruh zaman",1
"136.content","jokowi ni makin liat semua bau islam masalah kali bau cina lanjut mang",1
"137.content"," harus mpr dpr gelar sidang istimewa tarik mandat jokowi bijak jokowi sangat rugi umat ormas islam",1
"138.content"," macam cacing kpanasan pemerintahan hari ngliat islam",1
"139.content","jokowi dapat puisi santri ponpes nurul islam",0
"140.content","kunjung ponpes nurul islam jokowi ingat santri jaga silaturahmi antar umat agama",0
"141.content","fakta glorifikasi islamophobia rafidah benci islam jadi era",1
"142.content","fakta panjang sejarah nkri diri baru era jokowi garam hilang premium hilang beda tangkap ormas islam hilang",1
"143.content","stop bapak islam",1
"144.content","bapak ajar sejarah",1
"145.content","kuat kerjasama ulama umaro presiden jokowi temu tokoh batak muslim indonesia",0
"146.content","wah kemenyan mempan mlwn kecewa umat islam jokowi mrk hny mrs sudut dpt untung kkuasaan jkw",1
"147.content","apa solusi hanya pajak pajak pajak mmg pucuk pemimpin erti islam kuat benah sistem zis indonesia",1
"148.content","presiden jokowi letak batu pertama bangun pondok nurul islam jember",0
"149.content","wajr bapak it sudh jnji pendukng menng islm bakl halbisi jangn salah umat islam bela diri",1
"150.content","ormas islam brangus umat n ulama islam anggap musuh olh bwh rezim indonesia kendali cina",1
"151.content","malin jelas otak rezim jokowi anti islam hanya komunis anti islam siap perang lawan musuh islam",1
"152.content","teroris pelihara negara hancur umat islam",1
"153.content","hal jadi pasti rakyat suruh jangan serius agama oleh mirip ajar komunisme",1
"154.content","bapak islam patung haram coba tanya ustad paham agama islam jangan orang p",1
"155.content","mayoritas umat islam bung bani kotak",1
"156.content","umat islam lama dizholimi oleh rezim rezim bela nista agama umat islam tuju dana haji proyek citra jkw",1
"157.content","antusiasme warga jember sambut presiden jokowi ponpes nurul islam jember jawa timur fef",0
"158.content","umat islam mesin utama indonesia pinggir",1
"159.content","bukan jokowi kriminalisasi ulama kerdil umat islam",1
"160.content","jangan buat polemik tetap umat islam tabung haji dana y",1
"161.content","jangan sok cinta pancasila paham pancasila jangan sok bahas ekonomi syariah hukum islam blh agama main",1
"162.content","omong mu bahas ekonomi syariah ideologi mu pancasila sehat coba ajar islam",1
"163.content","era urus urus uang umat islam soal ormas islam bagaimana tang mu kawan",1
"164.content","oknum setir tukang ngompirin nganu en cepat cepat berangus ormas islam spya aman tanpa halang",1
"165.content","jokowi pki memang niat balas dendam negara islam makanya hutang terus jebak negara",1
"166.content","colek moga insyaf kmbali sbgai parte islam parte jokowi ato",1
"167.content","jokowi masa wajah kayak gin bilang diktator presiden korut wajah imut nyata diktator",1
"168.content","kering daya beli masyarakat bawah catat apindo jokowi",0
"169.content","bapak nyuruh menteri mu bikin fds nyuruh sas nu demo fds begini cara adu domba ummat islam",1
"170.content","bapak salah islam anti pancasila",1
"171.content","cebonger percaya ada kriminalisasi trhdp umat islam ini bukti ckp minta maaf urus selesai",2
"172.content","umat islam pojok duwitnya pake muka ndeso diktotor",1
"173.content","video duga presiden jokowi semprot warga jember soal tarif dasar listrik cekik",1
"174.content","nanti jokowi dukung oleh konglomerat cina prabowo dukung oleh seluruh umat islam",1
"175.content","rakyat butuh ganti presiden pro komunis anti islam rakyat butuh reshuffle kabinet",1
"176.content","om jangan lupa boikot jokowi islam satu tumbang rezim diktator made in ndeso",1
"177.content","sejak awal kuasa babi cina jokowi trap klm agama tiada ktp terus lanjut pmbubaran ormas islam hti pemerintahan pki",2
"178.content","jokowi berutang seperti tahun sby kuasa fakta jokowi sukses infrastruktur ilusi",1
"179.content","tindas islam sekarang benar buat muslimin cerai berai mjadi solid jadi filter antara munafikin mu minin",1
"180.content","jokowi kerap singgung soal utang kaca prestasi bawah dahulu",1
"181.content"," fakta utang rezim megawati sby hingga jokowi perin",1
"182.content","islam jokowi perlu tah kata maman imanulhaq",1
"183.content","soal full day school fds pkb sebut jokowi tipu umat islam perlu tah",1
"184.content","jokowi ingin unjuk gigi kebaji tanpa teror konyol ala robiespierre",1
"185.content","denger kata bapak bahwa hari lahir perpu ormas jokowi bubar ormas islam besok",1
"186.content","bangga jilat jokowi bapak bagaimana kabar lbgt bapak pasti tau lgbt haram islam",1
"187.content","jokower klaim pesawat n hasil jokowi nyata mulai era sby",1
"188.content","dukung jokowi kalah dki tunggu kalah umat islam satu pilih amanah bela ulama",1
"189.content","cuma era jokowi berani campur urus umat islam",1
"190.content","liberalis komunis tuju yaitu anti islam sembah jokowi",1
"191.content","jokowi hanya banding utang banding dapat antar negara",1
"192.content","kecebong panas tiap dengar orang doa tifatul sembiring mampu agama islam sangat jauh lebih baik banding kiayi",2
"193.content","soal reshuffle amat tandak gagal jokowi pimpin negara",1
"194.content"," pahala ambil anjing kutuk hina islam bgtu mending doa kutuk monyet",2
"195.content","nyata ulama anggap a makar nyata ormas islam berangus omong suai fakta jangan mauhebat sendiri",1
"196.content","harus qta demo dsini lawan kelompok pki islam liberal syiah n partai politik dukung mndukung ketudakadilan hukum",1
"197.content","rakyat ingat pemimpin harus dengar",1
"198.content"," bingung nyata braninya umat islam nyerang umat islam memang jokowi islam",0
"199.content","benar ibu hanya pki anti islam pancasila jokowi aneh jokowi terima delegasi partai komunis cina masuk istana",1
"200.content","pidato merdeka jokowi tegas komitmen indonesia juang palestina",0
"201.content","pidato tahun depan mpr jokowi bohong",1
"202.content","jokowi kelompok kafir pdip coba dengar katak sri suktan hb x",2
"203.content","megawati berang jokowi tuduh diktator politis nasi jadi bubur",1
"204.content","islam cuma satu dasar al quran sunnah nabi islam indonesia islam radikal ajar jkw",1
"205.content","pokok islam pasti slalu salah",1
"206.content","keluh kurus jokowi ingin badan gemuk bapak tifatul doa agar jokowi gemuk",0
"207.content","tolak dana haji infrastruktur amat jokowi lanjur cap anti umat islam hut r r",1
"208.content","hal paling takut chebonk ahoker bapak jokowi dapat hidayah bapak masuk islam",2
"209.content","kasus alfian tanjung al khaththath ingat presiden jokowi jangan laku kriminalisasi islam",1
"210.content","doa hati rakyat indonesia doacdari hati para ulama doa baguuus jerit hati umat",1
"211.content","spe lo mo ngjlekin islam",1
"212.content","benar fb grup wa kl hina leceh islam biasa diem gilir nyerang jokowi bnyk lsg kejang",1
"213.content","jprr apresiasi langkah yusril ihza mahendra gugat pemilu seru jambi",0
"214.content","sosialisasi pemilu mukerwil ppp jateng",0
"215.content","sekjend pdip datang mega sby istana kait pemilu",0
"216.content","presiden jokowi pemerintah fokus pemerataan ekonomi adil",0
"217.content"," presiden jokowi umbar janji atas miskin",1
"218.content","bahas masalah internal menang pemilu pan undang jokowi rakernas",0
"219.content","pakai dollar harga sewa rumah kawasan kontrak jokowi",0
"220.content"," respect situ bung smg pemilu depan situ bener muncul arena politik or berita media",1
"221.content","pkb ingin gesa gesa dukung jokowi pemilu",0
"222.content","jika pemilu presiden hari jokowi pasti kalah",1
"223.content","bahaya komunis makin gila",1
"224.content"," cuma ingat boleh cinta junjung tetap harus amanah haram manipulasi data jangan sebar cerita bohong",1
"225.content","banyak hasil pemerintah sby jokowi resmi hasil pemerintahannya sendiri",1
"226.content","kala jokowi temu santri paling tampan jember",0
"227.content","ganti baju patung lilin jokowi hong kong kini pakai batik",0
"228.content","pdip ogah ikut ikut deklarasi dukung jokowi",0
"229.content","intelektual muda muslim tanya diam jokowi soal meikarta",1
"230.content","jokowi pinter pinter amat suka bagi bagi jabat proyek",1
"231.content","kenapa jokowi sulit lengser taipan raksasa raksasa rakus",1
"232.content","presiden pasti korban phk beri latih kewirausahaan",0
"233.content"," gara gara jokowi orang orang tamak",1
"234.content","jokowi minta efektivitas dana desa",0
"235.content","apa pdip deklarasi usung jokowi",0
"236.content","ipar duga a kabar",1
"237.content","sindir jokowi fahri korea utara mau imut imut presiden tetap otoriter",1
"238.content","hari jokowi hadir upacara harlah pramuka resmi raimuna nasional x",0
"239.content","jokowi muhammadiyah jangan sampai islam gerus zaman",0
"240.content","pantesan ngotot jokowi patung cina tuban diri sendiri punya patung hongkong",1
"241.content"," berani tolong tanya jokowi maksud patung raja tiongkok pasang indonesia",1
"242.content","sholat jum at sama bapak presiden jokowi widodo mesjid sajingan",0
"243.content","ipar jokowi duga a suap kabar",1
"244.content","pdip mau latah deklarasi jokowi pilpres",0
"245.content","stok harga pangan harus jaga pasti aman jangan sampai hutang indonesia panjang",1
"246.content","bangun gunung hutang anjing",2
"247.content","jokowi dana kip guna hanya perlu didik",0
"248.content","presiden jokowi jangan pikir monoton linier harus berani ubah",0
"249.content","jokowi harus perang narkoba",0
"250.content","kuliah umum bapak presiden jokowi universitas muhammadiyah jember kmren sore",0
"251.content","jokowi harus manfaat momentum reshuffle",0
"252.content","dek mau sm abang abang janji bs ngbahagiain adek h gtu takut pamali jokowi dek bnyk janji tepat",1
"253.content","jilat ludah jk bukti jokowi sukses",1
"254.content","jokowi munafik",1
"255.content","mulut kotor gambar pribadi demikian dukung jokowi otak kotor mulut kotor contoh buruk",1
"256.content","kayak mimpin siang bolong",1
"257.content","omong bapak pegang munafik",1
"258.content","presiden jokowi saksi jember fashion carnaval presiden joko widodo ibu negara iriana joko widodo",0
"259.content","presiden jokowi himbau masyarakat awas dana desa",0
"260.content","istri jokowi satu antara juta alumni universitas muhammadiyah lewat",0
"261.content","jokowi nyata perang narkoba",0
"262.content","definisi hoax turut jokowi tebar berita tentang salah",1
"263.content"," baik kecewa gua jokowi tambah gitu pakde bagaimana teman boleh banyak sahabat langka pakde",1
"264.content","presiden jokowi acung jempol simpang susun semanggi",0
"265.content","se jelek jokowi jangan tiru perilaku cebong cebong monggo polisi usut",2
"266.content","jokower marah megawati sebut jokowi makan banyak badan kurus kering",0
"267.content","pristono jokowi tahu tentang bus karat",0
"268.content","hut merdeka r presiden hmpi penuh undang presiden jokowi",0
"269.content"," benar nyata sesal mencapreskan sesal sll belakang",1
"270.content","selain salam megawati sby buat jokowi makan sama",0
"271.content","hadiah khusus jokowi hari merdeka",0
"272.content","nyonya menor psi sadar bahwa jokowi sedang gali kubur sendiri",1
"273.content","kangmas saksi ektp tewas bunuhdiri henti bodoh massal neger",1
"274.content","geli sendiri baca misah misuh cebong agussylvi kendati bagi sepeda jokowi pusat hati publik istana kemarin",2
"275.content","mega serakah kapan tobat",1
"276.content","jokowi bolak balik datang simpang susun semanggi",0
"277.content","diskriminatif psk adat koteka tampil",1
"278.content","jokowi harga kerja gubernur sekarang belum",0
"279.content","hari jokowi temu teladan nasional resmi countdown asi games",0
"280.content","asyik rezim jokowi obral remisi napi koruptor",1
"281.content","temu sby jokowi kembali demokrat gelanggang",0
"282.content","jokowi anggar rp triliun dana didik sasar",0
"283.content","mantan relawan sebut menteri jadi tumbal gagal jokowi pimpin bangsa indonesia",1
"284.content","sebut kecut tuding jokowi diktator megawati lupa ingat",1
"285.content","kapolri ungkap alas jokowi pilih putra papua ajudan",0
"286.content","jokowi foto sama tamu vvip usai upacara bendera",0
"287.content","menteri jadi tumbal gagal",1
"288.content","begini cerita balik pakai adat sulsel jokowi harus belum ayam kokok",0
"289.content","presiden jokowi da da da ngacir usai semprot warga turun tarif daftar listrik",1
"290.content","cocok bapak jokowi presiden tugas partai",1
"291.content","jokowi klaim angka miskin turun gerindra angka nyata lebih banyak derita",1
"292.content","gejala anti kritik rezim jokowi",1
"293.content","jadi tingkat utang luar biasa rezim jokowi fakta jangan tutup",1
"294.content","fahira idris pidato jokowi harus jawab resah rakyat",1
"295.content","fahri hamzah minta jokowi hati hati soal utang cabut subsidi",0
"296.content","dpr sayang presiden jokowi tandatangani pemilu",0
"297.content","ustad ulama ormas islam gebuk antek tang pki beri leluasa jokowi pura bodoh",1
"298.content"," mau remuk jika paham tentang pancasila komunis jangan hanya hajar islam",1
"299.content","istri alm munir akhir sadar ham cuma komoditi politik jokowi kuasa",1
"300.content","ormas islam demonstrasi sebut presiden jokowi drakula isap darah ormas ormas islam cara",1
"301.content","diktator emang rejim polisi begitu benci rejim umat islam dakwah kriminalisasi",1
"302.content","neng berhutang ayo tambah sampai muntah",1
"303.content"," bau islam pokoe salah",1
"304.content","atur baru jokowi sempit gerak tni polri jabat sipil",1
"305.content","istri kapolri simpan sepeda hadiah jokowi museum polri",0
"306.content","sampa pidato negara jokowi kena pakai adat bugis",0
"307.content","hal penting pidato negara nota uang jokowi dpr",0
"308.content","kasus bunuh munir ungkap suciwati sudi pilih jokowi pilpres",1
"309.content","emang pemerintahan jokowi jelek terus bela sampai buluk",1
"310.content","pidato lengkap presiden jokowi sidang tahun mpr",0
"311.content","menelisik fakta infrastruktur jokowi lewat infrastruktur ala jokowi",0
"312.content","ini moment of truthnya indonesia saat presiden lengos tau jwb begitu",1
"313.content","jokowi bedebah",1
"314.content","seperti malah puruk sektor kelautan ikan bahkan beberapa dirjen masalah kait hukum",1
"315.content","presiden jokowi saat telah pilih kombes johnny edizon isir bagai ajudan pribadi",0
"316.content","puluh tahun indonesia tang sby sangat lh baik ekonomi setabil kya sekrng rezim jokowi sangat lh buruk ekonomi hancur",1
"317.content","ajak rieke dukung jokowi buruh se jawa timur ngerasa tipu",1
"318.content","kerja kayak jokowi ntar bnyk ngutang",1
"319.content","jokowi inspektur upacara ingat hut r istana",0
"320.content","jokowi pimpin upacara hut r istana",0
"321.content","presiden jokowi pidato negara depan tinggi jawa timur",0
"322.content","bangun km jalan tol jokowi prioritas swasta bumn",0
"323.content","wakil ketua dpr sebut ekonomi era sby lebih baik jokowi",1
"324.content","dasar adil jokowi kapolri hina sampai begini kabar menhina islam makar",1
"325.content"," siksa thn depan bangkit umat islam puncak ketika kalah jokowi",1
"326.content","manusia jilat agama islam nista diam viktor hina ajar islam diam jokowi doa baik malah marah",1
"327.content"," citra murah umat islam ahlu sunah agustus tahun rasa jajah be be be",1
"328.content","umat islam tahun rasa merdeka rasa seperti zaman kolonial jajah oleh rezim",1
"329.content"," jokowi saat perlu baik umat islam setelah narasi sesat tim banyak buat hubung buruk",1
"330.content","coba hati semua komen sini dsni antara fans anti islam islam pro jokowi simple nilai sndiri lol",1
"331.content","sptnya gatot anjing bunuh umat islam pasang homo anjing kebal tampar muka tembok",2
"332.content","pilpres presiden pks pasti partai lawan jokowi",1
"333.content","aneh presiden agama islam alergi ormas islam rakyat mayoritas agama islam kenapa gerangan",1
"334.content","rata benci ulama islam pki",1
"335.content","jokowi teken pemilu",0
"336.content"," pemilu teken presiden jokowi dpra gugat mk",1
"337.content","jokowi teken pemilu yusril sama partai bulan bintang gelar diskusi pemilu",0
"338.content"," pemilu teken jokowi gugat minta baik mohon",0
"339.content"," pemilu telah teken jokowi pkb siap sosialisasi",0
"340.content","akhir presiden jokowi teken undang undang pemilu",0
"341.content","sempat warna aksi walkout fraksi akhir jokowi teken pemilu",0
"342.content","ajar smk tangkap gara gara injak foto jokowi hina polri",1
"343.content"," cuma hina jokowi kapolri ringgo tantang polisi fb",1
"344.content","beri remisi kpd para narapidana tiap agt masuk kpd",0
"345.content","pidato nota uang presiden rabu",0
"346.content","jokowi gemuk",0
"347.content","presiden lembaga negara harus dapat percaya rakyat",0
"348.content","jokowi pamer kinerja fadli zon suai realita",1
"349.content","dulu bilang tugas partai kini megawati sindir jokowi impor garam sampai gula pihak siapa",1
"350.content","presiden jokowi pimpin malang renung tmp kalibata",0
"351.content","fahri hamzah minta presiden jokowi hati hati soal utang cabut subsidi",0
"352.content","presiden jokowi sampa rapbn dpr lewat",0
"353.content","jokowi pasti utang dampak positif bagi bangun",0
"354.content","cebong fanatik sumbu pendek ingin semua orang sembah jokowi beliau spt tuhan maha suci maha tinggi",2
"355.content","benar jokowi harus henti jelas",1
"356.content"," sekolah bapak kerja jarang punya waktu sama keluarga habis pulang sekolah malam kerja tugas rumah",1
"357.content","ikut doa lengkap tifatul sembiring viral doa gemuk jokowi lewat",1
"358.content","pidato jokowi realistis bosen php rakyat janji muluk slalu meleset",1
"359.content","haris azhar dulu jokowi konsisten konsisten tiada ham indonesia",1
"360.content","akibat krisis ekonomi krisis mental era jokowi anak kecil stress",1
"361.content"," nama revolusi mental",1
"362.content","tanggap pidato ekonomi jokowi dpr fadli zon suai realita abang joko php rakyat",1
"363.content","bagaimana gua mau suka pemerintahan sekarang jika jokowi hanya orang presiden boneka kerdil dng juluk kerempeng oleh majikan",1
"364.content"," bahas kasus ham pidato negara aktivis presiden jokowi konsisten indah konstitusi",1
"365.content","elemen masyarakat sebut tuntas kasus ham era jokowi jeblok pic twitter com ofpribmie",1
"366.content","ketua mpr komentar pakai adat jokowi jk",0
"367.content","soal hukum ham haris duga jokowi pernah baca nawacita",1
"368.content","gerindra nilai pidato ekonomi jokowi suai lapang",1
"369.content","makin terang siapa benar jokowi tito jaksa agung orang ustadz ungkap bahaya pki malah tangkap waras",1
"370.content","fadli zon sebut pidato jokowi kosong suai fakta lapang",1
"371.content"," fc pemerintah pasti tambah anggar bagi dpr fc tuntas kasus munir rezim jokowi malu",1
"372.content"," ajaranya partai sapi memang demikian dpat jatah",1
"373.content","kepada dubes as jokowi undang trump indonesia",0
"374.content","jokowi janji tahun depan tambah hutang negara",0
"375.content","istri munir tiga tahun jokowi gagal mau pilih ogah",1
"376.content","jokowi naik jet mewah media indonesia impoten",1
"377.content","presiden jokowi ibu negara juri lomba masak ikan",0
"378.content","subuh msjd sampai juz moga rkyt ind pilih presiden baru jangan jokowi pdip cs makanya uni kmrn diem",1
"379.content","jangan kaget bro citra citra pencitraannn",1
"380.content","kata kata kunci pidato tahun jokowi",0
"381.content","presiden jokowi pimpin malam renung suci laksana tmp kalibata",0
"382.content","kontol tunduk pki planga plongo tumbang",2
"383.content","jokowi nambah tahun tahun depan sekolah masuk jam subuh pulang jam malam ajar lonte",2
"384.content","jokowi kalah pilpres strategi",1
"385.content","video tanya warga soal tdl jokowi pergi lalu",1
"386.content","jelang datang jokowi panser paspampres siaga dpr",0
"387.content","gelontor impor petan jerit harga jual garam anjlok jokowi lupa janji saat capres",1
"388.content","semua akibat jokowi pro china pki sehingga semua sembrawut gaduh",1
"389.content","puan damping jokowi pilpres",0
"390.content","khofifah hadap jokowi soal pilgub jatim",0
"391.content","jokowi mulai gerilya manfaat golkar",0
"392.content","jual buku surat buka kepada pemilih jokowi dunia",0
"393.content","jokowi malah bisu saat rakyat kecil jerit minta tarif dasar listrik turun",1
"394.content","jangan tangkap rakyat marah wajar punya negara mampu ring susah apalagi sejahtera",1
"395.content","salah taruh pemerintahan adlh kasus novel mnangkap teroris sj kenapa tangkap serang novel",1
"396.content","jokowi jk lebay prabowo hatta ada",1
"397.content","gagal tiga tahun jokowi memilihara optimisme",1
"398.content","akhir kemarin agustus bapak jokowi ketemu para juara finalis lomba masak ikan",0
"399.content","jokowi patok tumbuh ekonomi persen tahun depan",0
